strategy,metric,n_pairs,original_mean,original_median,original_sd,corrected_mean,corrected_median,corrected_sd,mean_difference,median_difference,hodges_lehmann_difference,n_improved,n_worsened,n_unchanged,normality_p,test,statistic,p_value,effect_size_name,effect_size,ci_statistic,ci_low,ci_high,ci_level,stratum_column,stratum,family,quantile_cuts,stratification_rule,stratification_type,p_adjusted_bh,significant_fdr,fdr_family,fdr_family_size,fdr_alpha,original_pass,corrected_pass,original_rate,corrected_rate,discordant_gained,discordant_lost,odds_ratio
s1_absolute_volume__mm3_5,Dice,2,0.8495408675904026,0.8495408675904026,0.002855254364282034,0.8495408675904026,0.8495408675904026,0.002855254364282034,0.0,0.0,0.0,0.0,0.0,2.0,,no_variation,,1.0,rank_biserial,0.0,median_of_differences,0.0,0.0,,stratum_anatomical,low_fragmentation,s1_absolute_volume__mm3_5|stratum_anatomical|Dice,"[9.0, 12.0]",components <= 2 == low fragmentation,prespecified_anatomical,1.0,False,s1_absolute_volume__mm3_5|stratum_anatomical|Dice,2,0.05,,,,,,,
s1_absolute_volume__mm3_5,HD95 (mm),248,7.6157061549518446,5.723635435938503,6.3997201736786575,7.66825830421126,5.878456629022168,6.3315903527040085,0.052552149259414885,0.0,0.0,98.0,73.0,77.0,1.1194143095313107e-28,wilcoxon_signed_rank,7283.5,0.9146329093223012,rank_biserial,0.009451924384604923,median_of_differences,0.0,0.0,0.95,stratum_anatomical,high_fragmentation,s1_absolute_volume__mm3_5|stratum_anatomical|HD95 (mm),"[9.0, 12.0]",components <= 2 == low fragmentation,prespecified_anatomical,1.0,False,s1_absolute_volume__mm3_5|stratum_anatomical|HD95 (mm),2,0.05,,,,,,,
s1_absolute_volume__mm3_5,HD95 (mm),2,1.1904356828242624,1.1904356828242624,0.2138363837126545,1.1904356828242624,1.1904356828242624,0.2138363837126545,0.0,0.0,0.0,0.0,0.0,2.0,,no_variation,,1.0,rank_biserial,0.0,median_of_differences,0.0,0.0,,stratum_anatomical,low_fragmentation,s1_absolute_volume__mm3_5|stratum_anatomical|HD95 (mm),"[9.0, 12.0]",components <= 2 == low fragmentation,prespecified_anatomical,1.0,False,s1_absolute_volume__mm3_5|stratum_anatomical|HD95 (mm),2,0.05,,,,,,,
s1_absolute_volume__mm3_5,Mesh integrity,248,,,,,,,,,,,,,,mcnemar_exact,0.0,0.0625,paired_rate_difference,0.020161290322580627,paired_rate_difference,0.004032258064516129,0.04032258064516129,0.95,stratum_anatomical,high_fragmentation,s1_absolute_volume__mm3_5|stratum_anatomical|Mesh integrity,"[9.0, 12.0]",components <= 2 == low fragmentation,prespecified_anatomical,0.125,False,s1_absolute_volume__mm3_5|stratum_anatomical|Mesh integrity,2,0.05,226.0,231.0,0.9112903225806451,0.9314516129032258,5.0,0.0,inf
s1_absolute_volume__mm3_5,Mesh integrity,2,,,,,,,,,,,,,,mcnemar_exact,0.0,1.0,paired_rate_difference,0.0,paired_rate_difference,0.0,0.0,0.95,stratum_anatomical,low_fragmentation,s1_absolute_volume__mm3_5|stratum_anatomical|Mesh integrity,"[9.0, 12.0]",components <= 2 == low fragmentation,prespecified_anatomical,1.0,False,s1_absolute_volume__mm3_5|stratum_anatomical|Mesh integrity,2,0.05,2.0,2.0,1.0,1.0,0.0,0.0,
s2_relative_volume__frac_0.01,Connected components,114,6.807017543859649,7.0,1.913515936340103,3.4210526315789473,3.0,1.3690299960003673,-3.3859649122807016,-3.0,-3.5,108.0,0.0,6.0,0.0005685911336357287,wilcoxon_signed_rank,0.0,1.3983047780091745e-19,rank_biserial,-1.0,median_of_differences,-4.0,-3.0,0.95,stratum_quantile,q1_least_fragmented,s2_relative_volume__frac_0.01|stratum_quantile|Connected components,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,4.1949143340275237e-19,True,s2_relative_volume__frac_0.01|stratum_quantile|Connected components,3,0.05,,,,,,,
s2_relative_volume__frac_0.01,Connected components,60,10.9,11.0,0.8772066606129533,4.45,4.0,1.534076214048205,-6.45,-6.0,-6.5,60.0,0.0,0.0,0.014023255899112344,wilcoxon_signed_rank,0.0,1.3022895114896006e-11,rank_biserial,-1.0,median_of_differences,-7.0,-6.0,0.95,stratum_quantile,q2_middle,s2_relative_volume__frac_0.01|stratum_quantile|Connected components,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,1.3022895114896007e-11,True,s2_relative_volume__frac_0.01|stratum_quantile|Connected components,3,0.05,,,,,,,
s2_relative_volume__frac_0.01,Connected components,76,17.67105263157895,16.0,6.147927906527504,5.684210526315789,5.0,2.142960732667397,-11.986842105263158,-10.0,-10.5,76.0,0.0,0.0,8.738255128513785e-09,wilcoxon_signed_rank,0.0,3.351874528122955e-14,rank_biserial,-1.0,median_of_differences,-11.0,-9.5,0.95,stratum_quantile,q3_most_fragmented,s2_relative_volume__frac_0.01|stratum_quantile|Connected components,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,5.027811792184432e-14,True,s2_relative_volume__frac_0.01|stratum_quantile|Connected components,3,0.05,,,,,,,
s2_relative_volume__frac_0.01,clDice,114,0.890938956399567,0.8951108967475137,0.04400603647629592,0.8949309243846967,0.8987097149034291,0.043830170284362244,0.003991967985129718,0.0025494703988451772,0.003629048147107794,24.0,82.0,8.0,0.029561577141658284,wilcoxon_signed_rank,1053.0,1.9290882234872875e-08,rank_biserial,0.6286369247046376,median_of_differences,0.001657988568737001,0.004666770957381439,0.95,stratum_quantile,q1_least_fragmented,s2_relative_volume__frac_0.01|stratum_quantile|clDice,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,2.8936323352309314e-08,True,s2_relative_volume__frac_0.01|stratum_quantile|clDice,3,0.05,,,,,,,
s2_relative_volume__frac_0.01,clDice,60,0.8650953922774158,0.8721460818589555,0.046316593871573324,0.8703367070063375,0.8769656732628475,0.04657397329487064,0.005241314728921592,0.0042808137234325305,0.005212868355888828,13.0,47.0,0.0,0.6402314739512107,paired_t,5.478762663347138,9.297992031132394e-07,cohens_dz,0.7073052184322152,mean_of_differences,0.0033647558169165497,0.00705276835911631,0.95,stratum_quantile,q2_middle,s2_relative_volume__frac_0.01|stratum_quantile|clDice,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,9.297992031132392e-07,True,s2_relative_volume__frac_0.01|stratum_quantile|clDice,3,0.05,,,,,,,
